Player,Runs,Balls,Strike_Rate,cluster
1,4014,2902,138.32,2
3,4090,3384,120.86,2
5,969,769,126.01,4
11,2657,2124,125.09,1
12,466,363,128.37,0
14,4037,2793,144.54,2
16,1379,1131,121.93,3
19,920,707,130.13,4
8,3197,2317,137.98,1
10,810,658,123.1,4
22,2482,2169,114.43,1
24,1102,740,148.92,4
28,4504,3497,128.8,2
29,749,593,126.31,4
30,3031,2374,127.67,1
33,721,477,151.15,4
34,2492,1778,140.16,1
35,685,511,134.05,4
37,3445,2925,117.78,2
38,934,786,118.83,4
40,1713,1333,128.51,3
26,519,393,132.06,0
42,4041,3001,134.66,2
45,2893,2272,127.33,1
48,5014,3723,134.68,2
51,1744,1372,127.11,3
53,3423,2709,126.36,2
54,4223,3524,119.84,2
56,886,642,138.01,4
68,1697,1489,113.97,3
69,448,384,116.67,0
70,577,418,138.04,0
71,1016,800,127.0,4
72,1687,1327,127.13,3
64,692,565,122.48,4
74,1403,902,155.54,3
75,1642,1201,136.72,3
84,356,289,123.18,0
85,339,285,118.95,0
87,337,251,134.26,0
88,1465,1154,126.95,3
89,1877,1490,125.97,3
90,1281,793,161.54,3
77,486,301,161.46,0
80,341,384,88.8,0
60,2385,1803,132.28,1
55,340,323,105.26,0
94,4144,3234,128.14,2
95,2522,2158,116.87,1
52,3198,2287,139.83,1
97,608,479,126.93,0
47,644,391,164.71,0
96,833,629,132.43,4
99,3974,2683,148.12,2
101,538,436,123.39,0
102,1462,1173,124.64,3
103,624,449,138.98,0
32,342,290,117.93,0
104,1555,1360,114.34,3
110,4962,3879,127.92,2
118,1230,972,126.54,4
119,854,725,117.79,4
120,602,442,136.2,0
125,724,599,120.87,4
113,1832,1538,119.12,3
131,1158,847,136.72,4
133,2489,1913,130.11,1
135,749,604,124.01,4
134,527,406,129.8,0
142,317,285,111.23,0
149,1150,985,116.75,4
152,1079,878,122.89,4
155,1276,1111,114.85,3
46,544,503,108.15,0
161,1349,1326,101.73,3
166,1322,1101,120.07,3
169,2174,1918,113.35,1
164,2427,2291,105.94,1
167,971,774,125.45,4
172,394,318,123.9,0
176,1107,839,131.94,4
178,1977,1648,119.96,3
183,1441,1245,115.74,3
179,417,314,132.8,0
184,1687,1424,118.47,3
192,259,258,100.39,0
200,2728,1833,148.83,1
202,768,573,134.03,4
205,672,588,114.29,4
208,1017,847,120.07,4
209,2069,1555,133.05,3
210,985,865,113.87,4
211,282,271,104.06,0
212,974,781,124.71,4
215,573,431,132.95,0
174,405,358,113.13,0
220,1808,1522,118.79,3
222,368,311,118.33,0
227,1408,1125,125.16,3
230,739,691,106.95,4
156,311,289,107.61,0
241,280,256,109.38,0
243,304,267,113.86,0
245,886,837,105.85,4
247,423,352,120.17,0
250,1400,1153,121.42,3
242,975,712,136.94,4
255,375,325,115.38,0
267,301,302,99.67,0
268,2334,2044,114.19,1
271,1153,1047,110.12,4
273,302,251,120.32,0
285,2041,1680,121.49,3
286,604,466,129.61,0
287,1001,758,132.06,4
290,531,468,113.46,0
298,505,432,116.9,0
304,514,486,105.76,0
310,676,587,115.16,4
315,2525,2103,120.07,1
323,409,364,112.36,0
325,663,552,120.11,4
327,285,271,105.17,0
330,339,322,105.28,0
334,390,403,96.77,0
335,506,405,124.94,0
344,798,737,108.28,4
381,300,314,95.54,0
378,401,367,109.26,0
382,327,309,105.83,0
359,424,326,130.06,0
430,388,311,124.76,0
438,342,280,122.14,0
427,900,529,170.13,4
444,280,323,86.69,0
453,1403,1018,137.82,3
454,934,730,127.95,4
459,295,251,117.53,0
496,414,290,142.76,0
