id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue
1,2017,CR Brathwaite,2017-04-05,SRH,RCB,RCB,CSK,normal,0,SRH,35,0,Yuvraj Singh,"Rajiv Gandhi International Stadium, Uppal"
2,2017,CR Brathwaite,2017-04-06,MI,Pune,Pune,CSK,normal,0,Pune,0,7,SPD Smith,Maharashtra Cricket Association Stadium
3,2017,CR Brathwaite,2017-04-07,GL,KKR,KKR,CSK,normal,0,KKR,0,10,CA Lynn,Saurashtra Cricket Association Stadium
4,2017,CR Brathwaite,2017-04-08,Pune,KXIP,KXIP,CSK,normal,0,KXIP,0,6,GJ Maxwell,Holkar Cricket Stadium
5,2017,CR Brathwaite,2017-04-08,RCB,DD,RCB,CSK,normal,0,RCB,15,0,KM Jadhav,M Chinnaswamy Stadium
6,2017,CR Brathwaite,2017-04-09,GL,SRH,SRH,CSK,normal,0,SRH,0,9,Rashid Khan,"Rajiv Gandhi International Stadium, Uppal"
7,2017,CR Brathwaite,2017-04-09,KKR,MI,MI,CSK,normal,0,MI,0,4,N Rana,Wankhede Stadium
8,2017,CR Brathwaite,2017-04-10,RCB,KXIP,RCB,CSK,normal,0,KXIP,0,8,AR Patel,Holkar Cricket Stadium
9,2017,CR Brathwaite,2017-04-11,DD,Pune,Pune,CSK,normal,0,DD,97,0,SV Samson,Maharashtra Cricket Association Stadium
10,2017,CR Brathwaite,2017-04-12,SRH,MI,MI,CSK,normal,0,MI,0,4,JJ Bumrah,Wankhede Stadium
11,2017,CR Brathwaite,2017-04-13,KXIP,KKR,KKR,CSK,normal,0,KKR,0,8,SP Narine,Eden Gardens
12,2017,CR Brathwaite,2017-04-14,RCB,MI,MI,CSK,normal,0,MI,0,4,KA Pollard,M Chinnaswamy Stadium
13,2017,CR Brathwaite,2017-04-14,Pune,GL,GL,CSK,normal,0,GL,0,7,AJ Tye,Saurashtra Cricket Association Stadium
14,2017,CR Brathwaite,2017-04-15,KKR,SRH,SRH,CSK,normal,0,KKR,17,0,RV Uthappa,Eden Gardens
15,2017,CR Brathwaite,2017-04-15,DD,KXIP,DD,CSK,normal,0,DD,51,0,CJ Anderson,Feroz Shah Kotla
16,2017,CR Brathwaite,2017-04-16,GL,MI,MI,CSK,normal,0,MI,0,6,N Rana,Wankhede Stadium
17,2017,CR Brathwaite,2017-04-16,Pune,RCB,RCB,CSK,normal,0,Pune,27,0,BA Stokes,M Chinnaswamy Stadium
18,2017,CR Brathwaite,2017-04-17,DD,KKR,DD,CSK,normal,0,KKR,0,4,NM Coulter-Nile,Feroz Shah Kotla
19,2017,CR Brathwaite,2017-04-17,SRH,KXIP,KXIP,CSK,normal,0,SRH,5,0,B Kumar,"Rajiv Gandhi International Stadium, Uppal"
20,2017,CR Brathwaite,2017-04-18,RCB,GL,GL,CSK,normal,0,RCB,21,0,CH Gayle,Saurashtra Cricket Association Stadium
21,2017,CR Brathwaite,2017-04-19,SRH,DD,SRH,CSK,normal,0,SRH,15,0,KS Williamson,"Rajiv Gandhi International Stadium, Uppal"
22,2017,CR Brathwaite,2017-04-20,KXIP,MI,MI,CSK,normal,0,MI,0,8,JC Buttler,Holkar Cricket Stadium
23,2017,CR Brathwaite,2017-04-21,KKR,GL,GL,CSK,normal,0,GL,0,4,SK Raina,Eden Gardens
24,2017,CR Brathwaite,2017-04-22,MI,DD,DD,CSK,normal,0,MI,14,0,MJ McClenaghan,Wankhede Stadium
25,2017,CR Brathwaite,2017-04-22,SRH,Pune,Pune,CSK,normal,0,Pune,0,6,MS Dhoni,Maharashtra Cricket Association Stadium
26,2017,CR Brathwaite,2017-04-23,KXIP,GL,GL,CSK,normal,0,KXIP,26,0,HM Amla,Saurashtra Cricket Association Stadium
27,2017,CR Brathwaite,2017-04-23,KKR,RCB,RCB,CSK,normal,0,KKR,82,0,NM Coulter-Nile,Eden Gardens
28,2017,CR Brathwaite,2017-04-24,Pune,MI,MI,CSK,normal,0,Pune,3,0,BA Stokes,Wankhede Stadium
29,2017,CR Brathwaite,2017-04-26,Pune,KKR,KKR,CSK,normal,0,KKR,0,7,RV Uthappa,Maharashtra Cricket Association Stadium
30,2017,CR Brathwaite,2017-04-27,RCB,GL,GL,CSK,normal,0,GL,0,7,AJ Tye,M Chinnaswamy Stadium
31,2017,CR Brathwaite,2017-04-28,DD,KKR,KKR,CSK,normal,0,KKR,0,7,G Gambhir,Eden Gardens
32,2017,CR Brathwaite,2017-04-28,SRH,KXIP,KXIP,CSK,normal,0,SRH,26,0,Rashid Khan,"Punjab Cricket Association IS Bindra Stadium, Mohali"
33,2017,CR Brathwaite,2017-04-29,Pune,RCB,RCB,CSK,normal,0,Pune,61,0,LH Ferguson,Maharashtra Cricket Association Stadium
