id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue
1,2017,1,2017-04-05,1,5,5,1,normal,0,1,35,0,Yuvraj Singh,"Rajiv Gandhi International Stadium, Uppal"
2,2017,2,2017-04-06,2,4,4,1,normal,0,4,0,7,SPD Smith,Maharashtra Cricket Association Stadium
3,2017,3,2017-04-07,3,6,6,1,normal,0,6,0,10,CA Lynn,Saurashtra Cricket Association Stadium
4,2017,4,2017-04-08,4,8,8,1,normal,0,8,0,6,GJ Maxwell,Holkar Cricket Stadium
5,2017,5,2017-04-08,5,7,5,2,normal,0,5,15,0,KM Jadhav,M Chinnaswamy Stadium
6,2017,1,2017-04-09,3,1,1,1,normal,0,1,0,9,Rashid Khan,"Rajiv Gandhi International Stadium, Uppal"
7,2017,6,2017-04-09,6,2,2,1,normal,0,2,0,4,N Rana,Wankhede Stadium
8,2017,4,2017-04-10,5,8,5,2,normal,0,8,0,8,AR Patel,Holkar Cricket Stadium
9,2017,2,2017-04-11,7,4,4,1,normal,0,7,97,0,SV Samson,Maharashtra Cricket Association Stadium
10,2017,6,2017-04-12,1,2,2,1,normal,0,2,0,4,JJ Bumrah,Wankhede Stadium
11,2017,7,2017-04-13,8,6,6,1,normal,0,6,0,8,SP Narine,Eden Gardens
12,2017,5,2017-04-14,5,2,2,1,normal,0,2,0,4,KA Pollard,M Chinnaswamy Stadium
13,2017,3,2017-04-14,4,3,3,1,normal,0,3,0,7,AJ Tye,Saurashtra Cricket Association Stadium
14,2017,7,2017-04-15,6,1,1,1,normal,0,6,17,0,RV Uthappa,Eden Gardens
15,2017,8,2017-04-15,7,8,7,2,normal,0,7,51,0,CJ Anderson,Feroz Shah Kotla
16,2017,6,2017-04-16,3,2,2,1,normal,0,2,0,6,N Rana,Wankhede Stadium
17,2017,5,2017-04-16,4,5,5,1,normal,0,4,27,0,BA Stokes,M Chinnaswamy Stadium
18,2017,8,2017-04-17,7,6,7,2,normal,0,6,0,4,NM Coulter-Nile,Feroz Shah Kotla
19,2017,1,2017-04-17,1,8,8,1,normal,0,1,5,0,B Kumar,"Rajiv Gandhi International Stadium, Uppal"
20,2017,3,2017-04-18,5,3,3,1,normal,0,5,21,0,CH Gayle,Saurashtra Cricket Association Stadium
21,2017,1,2017-04-19,1,7,1,2,normal,0,1,15,0,KS Williamson,"Rajiv Gandhi International Stadium, Uppal"
22,2017,4,2017-04-20,8,2,2,1,normal,0,2,0,8,JC Buttler,Holkar Cricket Stadium
23,2017,7,2017-04-21,6,3,3,1,normal,0,3,0,4,SK Raina,Eden Gardens
24,2017,6,2017-04-22,2,7,7,1,normal,0,2,14,0,MJ McClenaghan,Wankhede Stadium
25,2017,2,2017-04-22,1,4,4,1,normal,0,4,0,6,MS Dhoni,Maharashtra Cricket Association Stadium
26,2017,3,2017-04-23,8,3,3,1,normal,0,8,26,0,HM Amla,Saurashtra Cricket Association Stadium
27,2017,7,2017-04-23,6,5,5,1,normal,0,6,82,0,NM Coulter-Nile,Eden Gardens
28,2017,6,2017-04-24,4,2,2,1,normal,0,4,3,0,BA Stokes,Wankhede Stadium
29,2017,2,2017-04-26,4,6,6,1,normal,0,6,0,7,RV Uthappa,Maharashtra Cricket Association Stadium
30,2017,5,2017-04-27,5,3,3,1,normal,0,3,0,7,AJ Tye,M Chinnaswamy Stadium
31,2017,7,2017-04-28,7,6,6,1,normal,0,6,0,7,G Gambhir,Eden Gardens
32,2017,9,2017-04-28,1,8,8,1,normal,0,1,26,0,Rashid Khan,"Punjab Cricket Association IS Bindra Stadium, Mohali"
33,2017,2,2017-04-29,4,5,5,1,normal,0,4,61,0,LH Ferguson,Maharashtra Cricket Association Stadium
34,2017,3,2017-04-29,3,2,3,2,tie,0,2,0,0,KH Pandya,Saurashtra Cricket Association Stadium
35,2017,9,2017-04-30,7,8,8,1,normal,0,8,0,10,Sandeep Sharma,"Punjab Cricket Association IS Bindra Stadium, Mohali"
36,2017,1,2017-04-30,1,6,6,1,normal,0,1,48,0,DA Warner,"Rajiv Gandhi International Stadium, Uppal"
37,2017,6,2017-05-01,5,2,5,2,normal,0,2,0,5,RG Sharma,Wankhede Stadium
38,2017,2,2017-05-01,3,4,4,1,normal,0,4,0,5,BA Stokes,Maharashtra Cricket Association Stadium
39,2017,8,2017-05-02,1,7,7,1,normal,0,7,0,6,Mohammed Shami,Feroz Shah Kotla
40,2017,7,2017-05-03,6,4,4,1,normal,0,4,0,4,RA Tripathi,Eden Gardens
41,2017,8,2017-05-04,3,7,7,1,normal,0,7,0,7,RR Pant,Feroz Shah Kotla
42,2017,5,2017-05-05,8,5,5,1,normal,0,8,19,0,Sandeep Sharma,M Chinnaswamy Stadium
43,2017,1,2017-05-06,4,1,1,1,normal,0,4,12,0,JD Unadkat,"Rajiv Gandhi International Stadium, Uppal"
44,2017,8,2017-05-06,2,7,7,1,normal,0,2,146,0,LMP Simmons,Feroz Shah Kotla
45,2017,5,2017-05-07,5,6,6,1,normal,0,6,0,6,SP Narine,M Chinnaswamy Stadium
46,2017,9,2017-05-07,8,3,3,1,normal,0,3,0,6,DR Smith,"Punjab Cricket Association IS Bindra Stadium, Mohali"
47,2017,1,2017-05-08,2,1,2,2,normal,0,1,0,7,S Dhawan,"Rajiv Gandhi International Stadium, Uppal"
48,2017,9,2017-05-09,8,6,6,1,normal,0,8,14,0,MM Sharma,"Punjab Cricket Association IS Bindra Stadium, Mohali"
49,2017,10,2017-05-10,3,7,7,1,normal,0,7,0,2,SS Iyer,Green Park
50,2017,6,2017-05-11,8,2,2,1,normal,0,8,7,0,WP Saha,Wankhede Stadium
51,2017,8,2017-05-12,7,4,7,2,normal,0,7,7,0,KK Nair,Feroz Shah Kotla
52,2017,10,2017-05-13,3,1,1,1,normal,0,1,0,8,Mohammed Siraj,Green Park
53,2017,7,2017-05-13,2,6,6,1,normal,0,2,9,0,AT Rayudu,Eden Gardens
54,2017,2,2017-05-14,8,4,4,1,normal,0,4,0,9,JD Unadkat,Maharashtra Cricket Association Stadium
55,2017,8,2017-05-14,5,7,5,2,normal,0,5,10,0,HV Patel,Feroz Shah Kotla
56,2017,6,2017-05-16,4,2,2,1,normal,0,4,20,0,Washington Sundar,Wankhede Stadium
57,2017,5,2017-05-17,1,6,6,1,normal,1,6,0,7,NM Coulter-Nile,M Chinnaswamy Stadium
58,2017,5,2017-05-19,6,2,2,1,normal,0,2,0,6,KV Sharma,M Chinnaswamy Stadium
59,2017,1,2017-05-21,2,4,2,2,normal,0,2,1,0,KH Pandya,"Rajiv Gandhi International Stadium, Uppal"
